"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2024","1,512.98","1,452.20","1,520.31","1,446.36","4.87B","4.01%"
"12/01/2023","1,454.66","1,452.00","1,470.79","1,440.40","3.02B","0.13%"
"11/01/2023","1,452.74","1,441.17","1,466.84","1,425.01","2.76B","0.74%"
"10/01/2023","1,442.14","1,424.07","1,446.54","1,412.17","2.40B","1.26%"
"09/01/2023","1,424.17","1,461.91","1,465.93","1,424.17","2.24B","-1.91%"
"08/01/2023","1,451.94","1,458.90","1,464.27","1,433.04","2.51B","-0.51%"
"07/01/2023","1,459.43","1,379.39","1,464.70","1,377.56","1.98B","6.01%"
"06/01/2023","1,376.68","1,383.30","1,402.44","1,369.41","2.40B","-0.75%"
"05/01/2023","1,387.12","1,416.21","1,438.33","1,380.90","2.84B","-2.04%"
"04/01/2023","1,415.95","1,426.77","1,438.28","1,412.75","1.56B","-0.47%"
"03/01/2023","1,422.59","1,454.38","1,461.42","1,391.04","2.86B","-2.17%"
"02/01/2023","1,454.19","1,488.82","1,494.54","1,447.55","2.58B","-2.11%"
"01/01/2023","1,485.50","1,488.54","1,501.86","1,470.59","2.26B","-0.67%"
